policy,R1,R2,R3,R4,R5,R6,R7,R8
(d) We also process your email address to associate it with your Garmin account when you interact with our customer support representatives.,1,0,0,0,0,0,0,0
(d) Your Individual Rights.,0,0,0,0,0,0,0,0
(e) Analysis of operational efficiency and measurement of market share. ,1,0,0,0,0,0,0,0
"(e) Health data management: After binding your device, NoiseFit: Health & Fitness Services will support the measurement, recording and display of your health data (sleep, heart rate, SpO2, stress, etc.).",1,0,0,0,0,0,0,0
"(e) The retained information is used for statistical and research purposes only, and the publication of statistics and research results does not reveal personal identities;",0,0,0,0,0,0,0,0
(e) to investigate fraud and (f) to protect the security or integrity of our Services.,1,0,0,0,0,0,0,0
(e) We also process your email address to notify customers when they have violated our terms.,1,0,0,0,0,0,0,0
"(F) Disclosure of Personal Data to third parties We disclose Personal Data to other entities within the Anker group, for legitimate business purposes and the operation of our Sites to you, in accordance with applicable law.",1,0,0,0,0,0,0,0
(f) Improve customer communications and ensure that customers are provided with safe and quality services. ,1,0,0,0,0,0,0,0
"(f) Medals: You will be awarded virtual medals, depending on your related training data and health data.",0,0,0,0,0,0,0,0
(f) Other situations stipulated by laws.,0,0,0,0,0,0,0,0
(f) to help You address Your problems with the Website including addressing any technical problems;,1,0,0,0,0,0,0,0
(f) To Maintain Legal and Regulatory Compliance.,1,0,0,0,0,0,0,0
(Facebook) .,0,0,0,0,0,0,0,0
"(For example, the number of mobile devices used to retrieve the pages) and to maintain our website and app administratively in general.",1,0,0,0,0,0,0,0
(For further detail go to Section 5 below),0,0,0,0,0,0,0,0
(For further detail go to Section 5 below),0,0,0,0,0,0,0,0
(For further detail go to Section 5 below),0,0,0,0,0,0,0,0
(For further detail go to Section 5 below).,0,0,0,0,0,0,0,0
(For further information go to Section 3.8 below),0,0,0,0,0,0,0,0
(For further information go to Section 3.8 below),0,0,0,0,0,0,0,0
(For further information go to Section 3.8 below),0,0,0,0,0,0,0,0
(For further information go to Section 3.8 below).,0,0,0,0,0,0,0,0
(For further information go to Section 3.9 below),0,0,0,0,0,0,0,0
(For further information go to Section 3.9 below),0,0,0,0,0,0,0,0
(For further information go to Section 3.9 below),0,0,0,0,0,0,0,0
(For further information go to Section 3.9 below).,0,0,0,0,0,0,0,0
(For further information go to sections 3.1-3.7 below),0,0,0,0,0,0,0,0
(For further information go to sections 3.1-3.7 below),0,0,0,0,0,0,0,0
(For further information go to sections 3.1-3.7 below),0,0,0,0,0,0,0,0
"(g) Health reports: Generate your weekly, monthly and annual health reports based on your training data, health data and personal information, and push your health reports.",0,0,0,0,0,0,0,0
(G) International transfer of Personal Data ,1,0,0,0,0,0,0,0
(g) Third Parties.,1,0,0,0,0,0,0,0
(g) Troubleshoot errors if you choose to send us error details. ,1,0,0,0,0,0,0,0
(Guess: Analyze the user group by matching the information of Facebook's user database and user email addresses provided) b.,0,0,0,0,0,0,0,0
"(H) Data security We have implemented appropriate technical and organisational security measures designed to protect your Personal Data against accidental or unlawful destruction, loss, alteration, unauthorised disclosure, unauthorised access, and other unlawful or unauthorised forms of Processing, in accordance with applicable law.",0,0,0,0,0,0,0,0
"(h) Functional services: NoiseFit: Health & Fitness provides additional functional services, including quick message reply, intelligent training identification, female menstrual cycle reminder, lifting wrist to turn on the screen, automatic brightness adjustment at night, multi-language switching, alarm clock, Find My Phone, music control and weather notification.",0,0,0,0,0,0,0,0
"(h) Synchronize, share, and store the data that you upload or download, as well as the data needed to perform uploads and downloads. ",1,0,0,0,0,0,0,0
(h) To Conduct Research and Development.,1,0,0,0,0,0,0,0
"(h) To Protect You, Us, or Others.",1,0,0,0,0,0,0,0
"(Hereinafter referred to as "" we "", "" our "" or "" Ecovacs "") respect and protect your privacy.",0,0,0,0,0,0,0,0
(hereinafter referred to as “NoiseFit: Health & Fitness”).,0,0,0,0,0,0,0,0
(i) Customer Support.,0,0,0,0,0,0,0,0
"(I) Data accuracy We take every reasonable step to ensure that: your Personal Data that we Process are accurate and, where necessary, kept up to date; and any of your Personal Data that we Process that are inaccurate (having regard to the purposes for which they are Processed) are erased or rectified without delay.",0,0,0,0,0,0,0,0
"(i) Meet any applicable law, regulation, subpoena, legal process or governmental request. ",1,0,0,0,0,0,0,0
(i) right to confirm the existence of processing activities related to your Personal Data; ,0,0,0,0,0,0,0,0
(i) Sharing: Share your weekly health report and other training data and health data to other social APPs on your phone.,0,0,0,0,0,0,0,0
(i) Site Hosting and Designer Third Parties .,0,0,0,0,0,0,0,0
(i) the specific pieces of Personal Information we have collected about you;,1,0,0,0,0,0,0,0
"(i) to conduct internal reviews and data analysis for the Website (e.g., to determine the number of visitors to specific pages within the Website); ",1,0,0,0,0,0,0,0
(i) To improve our protection against damage and anti-fraud programmes.,1,0,0,0,0,0,0,0
"(i) Whether your Premises is a home, apartment or business ",1,0,0,0,0,0,0,0
(i) Your IP Address; ,1,0,0,0,0,0,0,0
(i) Your name ,1,0,0,0,0,0,0,0
"(i)Delegation of data processing If it is necessary for providing you better or satisfactory products or services, we may engage third-party service providers located your jurisdiction to analyze or process your personal information.",1,0,0,0,0,0,0,0
"(ii) Enforce applicable Terms of Sale and/or a Retail Installment Agreement, if applicable, including investigation of potential violations. ",1,0,0,0,0,0,0,0
"(ii) Name and telephone number for friends or family you would like to be contacted if an alarm, home intrusion, or life safety event is triggered. ",1,0,0,0,0,0,0,0
(ii) right of access; ,0,1,0,0,0,0,0,0
"(ii) The address of the location where the System will be installed (""Premises"") ",1,0,0,0,0,0,0,0
(ii) The type of web browser you use to access the Sites,1,0,0,0,0,0,0,0
"(iii) Detect, prevent, or otherwise address fraud, security or technical issues.",1,0,0,0,0,0,0,0
(Iii) Disclose We will not disclose your personal information to the public.,1,0,0,0,0,0,0,0
"(iii) Information such as a ""verbal password"" and additional information selected by you to be used to verify your identity when you communicate with customer service or with the monitoring center, or if you forget your log-in credentials for your Cove customer account.",1,0,0,0,0,0,0,0
"(iii) right to correct incorrect, incomplete or outdated Personal Data; ",0,0,1,0,0,0,0,0
(iii) the categories of sources from which we collected Personal Information about you;,1,0,0,0,0,0,0,0
(iii) Your billing address ,1,0,0,0,0,0,0,0
"(iv) right of anonymization, blockage or exclusion of unnecessary or excessive Personal Data, or of Personal Data processed in violation of the applicable legislation; ",0,0,0,0,0,0,0,0
(iv) Unique device identifiers for your mobile devices or tablets ,1,0,0,0,0,0,0,0
(iv) Your shipping address,1,0,0,0,0,0,0,0
(ix) right to withdraw consent; ,1,0,0,0,0,0,0,0
(J) Data minimisation We take every reasonable step to ensure that your Personal Data that we Process are limited to the Personal Data reasonably necessary in connection with the purposes set out in this Policy.,0,0,0,0,0,0,0,0
"(j) Questions and suggestions: If you encounter any problems in the course of use, you can edit and submit questions to us.",0,0,0,0,0,0,0,0
"(j) to improve the services, content and advertising on the Website; ",1,0,0,0,0,0,0,0
(K) Data retention We take every reasonable step to ensure that your Personal Data are only Processed for the minimum period necessary for the purposes set out in this Policy.,1,0,0,0,0,0,0,0
"(k) NoiseFit: Health & Fitness Services allow you to share data to third-party services, provided that you send us a sharing instruction.",1,0,0,0,0,0,0,0
(k) to protect the integrity of the Website; ,1,0,0,0,0,0,0,0
(l) Purchase: NoiseFit: Health & Fitness provides virtual dial purchase service.,0,0,0,0,0,0,0,0
(L) Your legal rights ,0,0,0,0,0,0,0,0
(M) Terms of Service All use of our Sites or services is subject to our Terms of Service .,0,0,0,0,0,0,0,0
(N) Direct marketing ,0,0,0,0,0,0,0,0
"(NOTE: For any of the uses of your data described above that require your prior express consent, note that you may withdraw your consent by contacting us.)",0,0,0,0,0,0,0,0
(Note: you can unsubscribe from receiving marketing communications at any time by contacting us in writing or via the App.),0,0,0,0,0,0,0,0
"(O) Details of Controllers For the purposes of this Policy, the relevant Controllers are: Controller entity Contact details Anker Technology (UK) Ltd.",0,0,0,0,0,0,0,0
"(P) Representatives Each of the controllers established outside the EEA and listed in Section (Q) above has appointed Support Team to be its representative the purposes of Article 27 of the GDPR, where applicable.",0,0,0,0,0,0,0,0
"(Please note, we work with a third-party service provider that are on our behalf to deliver voice-text conversion service.",0,0,0,0,0,0,0,0
"(Q) Analytics and Tailored Advertising When you visit a Site, we will typically place Cookies onto your device, or read Cookies already on your device, subject always to obtaining your consent, where required, in accordance with applicable law.",0,0,0,0,0,0,0,0
"(R) Do Not Track Most browsers can be set to send signals to third party websites requesting them not to track the user""s activities.",0,0,0,0,0,0,0,0
"(S) California Consumer Privacy Act Disclosures Under the California Consumer Privacy Act ("" CCPA ""), we must disclose our practices regarding the collection, use, and disclosure of the Personal Information of California Residents ("" Consumers "").",0,0,0,0,0,0,0,0
"(T) California""s ""Shine the Light"" Law Under California""s ""Shine the Light"" law, California residents are entitled to ask us for a notice describing what categories of personal customer information Anker shares with third parties or corporate affiliates for those third parties or corporate affiliates"" direct marketing purposes.",0,0,0,0,0,0,0,0
(T) Categories of Sources of Personal Information ,1,0,0,0,0,0,0,0
"(Tax Payer Number 08.649.664/0001-98, whose address and related contact is indicated below: Semp TCL Mobilidade Ltda Avenida Arnaldo Rojek, nº 01, Rua 5, Galp parte 1, Altos de JordanÃ©sia, Cajamar/SP  CEP 07.786-900 Contact us by sending an email to privacidade@semptcl.com.br or by calling +55 (11) 3004-7570.",0,0,0,0,0,0,0,0
"(There may be occasions when Xiaomi may collect, use or disclose your personal information without your consent if it is and only to the extent it is permitted under applicable data protection laws).",1,0,0,0,0,0,0,0
"(U) Contact Us If you have questions or concerns with respect to our Privacy Policy, you may contact us at support@eufylife.com or DPO@anker.com (V) Defin itions "" Adequate Jurisdiction "" means a jurisdiction that has been formally designated by the European Commission as providing an adequate level of protection for Personal Data.",0,0,0,0,0,0,0,0
(v) Operating system version you are using,1,0,0,0,0,0,0,0
(v) right of portability; ,0,0,0,0,0,1,0,0
"(v) the categories of your Personal Information that we sold or disclosed and for each category, the categories of th‚ ird parties to which we sold or disclosed that particular category of Personal Information; ",1,0,0,0,0,0,0,0
"(vi) right to exclude Personal Data which is no longer necessary for the purposes for which collected, but for cases in which retention of the Personal Data is necessary and allowed under the law; ",0,0,0,0,0,0,0,0
(vi) Your telephone or mobile phone number,1,0,0,0,0,0,0,0
(vii) right to obtain information on the private and public entities to whom your Personal Data was shared; ,0,0,0,0,0,0,0,0
(vii) the information of the public and private entities with which Signify has carried out shared use of personal data;,0,0,0,0,0,1,0,0
"(vii) Time and date of using, accessing, or otherwise interacting with our Sites ",1,0,0,0,0,0,0,0
(viii) information on the consequences of refusing consent; ,0,0,0,0,0,0,0,0
(viii) The pages on our Sites that you view,1,0,0,0,0,0,0,0
"(x) right to petition to the Brazilian National Data Protection Authority (""ANPD"") in relation to the processing of Personal Data;",0,0,0,0,0,0,0,0
* Affiliated Entities and Service Providers.,0,0,0,0,0,0,0,0
* Disclaimer.,0,0,0,0,0,0,0,0
* Email Address Collection.,1,0,0,0,0,0,0,0
* Information Collected by Products; ,1,0,0,0,0,0,0,0
* To assist us in analyzing how our Service is used.,0,0,0,0,0,0,0,0
* To facilitate our Service;,0,0,0,0,0,0,0,0
* To perform Service-related services; or,0,0,0,0,0,0,0,0
* To provide the Service on our behalf;,0,0,0,0,0,0,0,0
.5.2    Unique Log data for each time you use the Coin Connect app.  ,1,0,0,0,0,0,0,0
".All supplied sensitive/credit information is transmitted via Secure SocketLayer (SSL) technology and then encrypted into our Payment Gateway ProvidersDatabase only to be accessible by those authorized with special access rightsto such systems, who are required to keep the information confidential.",0,0,0,0,0,0,0,0
[1] 6.4  In some cases it is not possible for us to specify in advance the periods for which your personal data will be retained.,1,0,0,0,0,0,0,0
"[1] Within the meaning applicable law, we will act as a data controller when we process your personal information.",0,0,0,0,0,0,0,0
"[2] 6.5  Notwithstanding the other provisions of this Section 6, we may retain your personal data where such retention is necessary for compliance with a legal obligation to which we are subject, or in order to protect your vital interests or the vital interests of another natural person.  ",1,0,0,0,0,0,0,0
"[check on this] If you connect with any of the social media activities available from our Site, such as the Facebook ""Like"" button, the social media platform controls these activities, not ADS. ",0,0,0,0,0,0,0,0
"[For European Economic Area (EEA) Residents Only In addition, your use of the Services may also involve the transfer, storage, and processing of your personal information to other countries; such countries include, without limitation, countries in the European Economic Area, United Kingdom, the United States of America, Canada, and India.",1,0,0,0,0,0,0,0
"[For European Economic Area (EEA) Residents Only] In addition, your use of the Services may also involve the transfer, storage, and processing of your personal information to other countries; such countries include, without limitation, countries in the European Economic Area, the United Kingdom, the United States of America, China, Singapore, Vietnam, India, Canada, the Philippines, and Japan.",1,0,0,0,0,0,0,0
"[For European Economic Area (EEA) Residents Only] In addition, your use of the Services may also involve the transfer, storage, and processing of your personal information to other countries; such countries include, without limitation, countries in the European Economic Area, United Kingdom, the United States of America, Canada, and India.",1,0,0,0,0,0,0,0
[For European Economic Area (EEA) Residents only] Samsung processes personal information for the purposes described above.,0,0,0,0,0,0,0,0
"[For European Residents] If you are in the EEA (European Economic Area, that is in the European Union and Iceland, Lichtenstein, Norway), UK or Switzerland, we will transfer your personal information to other countries outside the EEA, UK or Switzerland, including the Republic of Korea and the United States.",1,0,0,0,0,0,0,0
"[INSERT IF YOU USE A THIRD PARTY MARKETING APP THAT COLLECTS INFORMATION ABOUT BUYER ACTIVITY ON YOUR SITE] We share information about your use of the Site, your purchases, and your interaction with our ads on other websites with our advertising partners.",0,0,0,0,0,0,0,0
"[INSERT OTHER ADVERTISING SERVICES USED] For more information about how targeted advertising works, you can visit the Network Advertising Initiative's (""NAI"") educational page at http://www.networkadvertising.org/understanding-online-advertising/how-does-it-work .",0,0,0,0,0,0,0,0
[See the Do Not Sell My Personal Information notice ] Privacy policies of other websites.,0,0,0,0,0,0,0,0
[Special Note] Please read this Privacy Notice carefully and familiarize yourself with our privacy practices before using realme products or providing your personal data.,0,0,0,0,0,0,0,0
[We make clear on our Website where information you post will be visible to others.],0,0,0,0,0,0,0,0
"[We may also share with social networks such as Facebook actions that you take on our Site such as your visits to our Sites, your interactions on our Sites, information collected from cookies or similar technologies (including the Facebook cookie), the ads you see and the purchases   you make.",1,0,0,0,0,0,0,0
"[When you enter sensitive information into our Services and it is transmitted through our network, we encrypt this data using SSL or other technologies].",0,0,0,0,0,0,0,0
"¨Google Analytics uses cookies and pixels in order to collect demographic and interest-level information and usage information from users that visit the Service, including but not limited to information about the pages where users enter and exit the Site and what pages users view on the Site, time spent, browser, operating system, and IP address.",0,0,0,0,0,0,0,0
‚ ‚·‚ Right to non-discrimination.,0,0,0,0,0,0,0,0
‚ VIII.‚ GDPR-Specific Provisions The following provisions only apply to you if you live in Europe.,0,0,0,0,0,0,0,0
"‚ If you choose to exercise any of these rights, we will not discriminate against you in any way.",0,0,0,0,0,0,0,0
‚·‚ Right to opt-out of the sale of your Personal Information.,0,0,0,0,0,0,0,0
‚·‚ Request to delete.,0,0,0,1,0,0,0,0
"‚·‚ We did not sell Personal Information, as we understand the term sale in the CCPA and its implementing regulations.‚ ‚·‚ ",0,0,0,0,0,0,0,0
"§ Information of your device or software, e.g. configuration information of your mobile device, web browser and any other applications connected to our services, your IP address, system version and IMEI of your mobile device;",1,0,0,0,0,0,0,0
·     5(c) To Provide Customer Support or Respond to You.,1,0,0,0,0,0,0,0
"·     5(d) To Enforce Compliance with Our Terms, Agreements, or Policies.",1,0,0,0,0,0,0,0
·     5(e) To Ensure the Security of the Services.,1,0,0,0,0,0,0,0
·     5(g) To Enhance Your Experience on our Services.,1,0,0,0,0,0,0,0
·     5(h) To Conduct Research and Development.,1,0,0,0,0,0,0,0
·     5(i) To Engage in Marketing Activities.,1,0,0,0,0,0,0,0
·     6(b) Mergers and Acquisitions.,1,0,0,0,0,0,0,0
·     6(c) Service Providers and Agents.,1,0,0,0,0,0,0,0
·     6(e) Marketing by Third Parties.,1,0,0,0,0,0,0,0
·     6(g) Your Consent.,1,0,0,0,0,0,0,0
"·     6(h) To Protect You, Us, or Others.",1,0,0,0,0,0,0,0
" By using any of the Services, you accept that we may use the data and information we collect from you in accordance with this Privacy Policy.",1,0,0,0,0,0,0,0
"1 a) GDPR, Art. 9 para.",0,0,0,0,0,0,0,0
1 a)-d) GDPR applies.,0,0,0,0,0,0,0,0
1 a)-f) GDPR applies.,0,0,0,0,0,0,0,0
1 b) GDPR as the processing is necessary to process the payment.,0,0,0,0,0,0,0,0
1 b) GDPR if your request relates to the purchase or imminent purchase of one of our products.,0,0,0,0,0,0,0,0
"1 b) GDPR, according to which the processing is lawful if it is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract.",0,0,0,0,0,0,0,0
"1 b) GDPR, according to which the processing is lawful if it is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract.",0,0,0,0,0,0,0,0
"1 b) GDPR, according to which the processing is lawful if it is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract.",1,0,0,0,0,0,0,0
"1 b) GDPR, according to which the processing is lawful if the data subject has given consent to the processing of his or her personal data for one or more specific purposes.",1,0,0,0,0,0,0,0
"1 b) GDPR, and the processing is carried out by automated means.",0,0,0,0,0,0,0,0
"1 e) or f) GDPR, including profiling based on those provisions.",0,0,0,0,0,0,0,1
1 f) GDPR (legitimate interest).,0,0,0,0,0,0,0,0
"1 f) GDPR, according to which the processing is lawful if it is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data.",0,0,0,0,0,0,0,0
"1 f) GDPR, according to which the processing is lawful if it is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data.",1,0,0,0,0,0,0,0
"1 f) GDPR, according to which the processing is lawful if it is necessary for the purposes of the legitimate interests pursued by the controller.",1,0,0,0,0,0,0,0
1 f) GDPR.,0,0,0,0,0,0,0,0
1 f) GDPR.,0,0,0,0,0,0,0,0
"1 GDPR, unless processing is necessary for the performance of a task carried out in the public interest.",0,0,0,0,0,0,0,0
"1 lit. a GDPR, we will transfer your e-mail address to Trusted Shops GmbH, Subbelrather Str.",0,0,0,0,0,0,0,0
1 lit. f GDPR.,0,0,0,0,0,0,0,0
"1 Register you as a User and allow you to log and monitor your exercise statistics and performance via the Myzone System and reporting to you on your usage and on any new features or updates or matters concerning your use of the Myzone System Identity, contact information and Myzone profile and exercise statistics and User usage of the Myzone System Performance of a contract ",1,0,0,0,0,0,0,0
1 Sentence 1 lit a) GDPR.,0,0,0,0,0,0,0,0
1 Sentence 1 lit a) GDPR.,0,0,0,0,0,0,0,0
1 What information is collected by us and how do we use it? ,1,0,0,0,0,0,0,0
1) Assisting us in providing the services of Mobvoi for you; ,1,0,0,0,0,0,0,0
1) Assisting us in providing the services of Zeblaze for you; ,1,0,0,0,0,0,0,0
1) Directly related to national security or national defence; ,0,0,0,0,0,0,0,0
"1) Information we collect In order to provide our services, we ask you to provide personal data required to personalize your experience.",1,0,0,0,0,0,0,0
1) Scope of application,0,0,0,0,0,0,0,0
1) Scope of application ,0,0,0,0,0,0,0,0
1) third party companies belonging to the same group to which DIP s.p.a. belongs in order to respond to your requests submitted through the application form; ,1,0,0,0,0,0,0,0
1)After obtaining your explicit consent; or 2)Disclosure based on the law: ,1,0,0,0,0,0,0,0
"1.     Collection of Information: Company may collect the following information and data (hereinafter referred to as ""Your Information"") depending on the extent of use of the Website and/or Services by you: ",1,0,0,0,0,0,0,0
1. ecobee Website and Store Visitors Every computer connected to the Internet is provided with a domain name (e.g. someispname.net) and an IP Address (e.g. 192.164.13.145).,0,0,0,0,0,0,0,0
1. Ecovacs will not analyze or process information beyond the scope authorized by you;,1,0,0,0,0,0,0,0
1. How we apply Cookie technology to automatically collect information.,1,0,0,0,0,0,0,0
1. Location for storing your information.,0,0,0,0,0,0,0,0
1. personal data that you provide to us directly; ,1,0,0,0,0,0,0,0
"1. Sharing information is necessary for providing products and services to you and upon your prior express authorization or consent You understand and agree that if it is necessary to provide you better or satisfactory services, Ecovacs may share your personal information with its affiliates or any other third-party service providers upon your prior express authorization or consent.",1,0,0,0,0,0,0,0
"1. the recipient of the personal data is located within a country that benefits from an ""adequacy"" decision of the European Commission;",0,0,0,0,0,0,0,0
1. Registration information.,1,0,0,0,0,0,0,0
1. Sharing ,1,0,0,0,0,0,0,0
"1.‚ We have taken‚ the security protection measures that comply with industry standards to protect the personal information provided by you against unauthorized access, public disclosure, use, modification, damage or loss.",0,0,0,0,0,0,0,0
1.1 Binatone and Hubble Connected collect the following information about you when you use the Website: ,1,0,0,0,0,0,0,0
"1.1 Personal Data We collect About your information: we may collect and use account number, Avatar, nickname, sex, time zone, language and locale data.",1,0,0,0,0,0,0,0
1.1 Service Provision,0,0,0,0,0,0,0,0
1.1 Service Provision,0,0,0,0,0,0,0,0
1.1 The personal data ASUS collect ,1,0,0,0,0,0,0,0
1.1 This Privacy Policy applies to all services provided by SMA.,0,0,0,0,0,0,0,0
"1.1 What information is collected by us In order to provide our services to you, we will ask you to provide personal information that is necessary to provide those services to you.",1,0,0,0,0,0,0,0
1.1.1 information that you provide by filling in the forms on our Website.,1,0,0,0,0,0,0,0
1.1.1 Information you provide to us ,1,0,0,0,0,0,0,0
1.1.2 Information that we collect in your use of services ,1,0,0,0,0,0,0,0
1.1.3 Non-personally identifiable information ,1,0,0,0,0,0,0,0
1.1Contact information that you expressly provide to us ,1,0,0,0,0,0,0,0
1.2 Analytics,0,0,0,0,0,0,0,0
1.2 Analytics,0,0,0,0,0,0,0,0
"1.2 Controller (Art. 4 No. 7 GDPR) The controller for the processing of your personal data in the context of using the website www.evehome.com (hereinafter referred to as the ""website"") is Eve Systems GmbH (hereinafter referred to as the ""operator"" or ""controller"").",0,0,0,0,0,0,0,0
"1.2 Cross-device targeting In order to save your preferences, analyze your usage of our websites, provide interest-based advertising to you and deliver tailored ads across multiple devices, we try to link the different devices you are using to you.",0,0,0,0,0,0,0,0
1.2 How ASUS use your personal data ,1,0,0,0,0,0,0,0
1.2 How we use the personal information that we collect ,1,0,0,0,0,0,0,0
1.2 How we will use your personal data and SPDI ,1,0,0,0,0,0,0,0
"1.2 Information we collect in your using of our products and services: It may require you to provide your mailing address, bank account number, etc. ",1,0,0,0,0,0,0,0
"1.2 The content of the Legal Notice may change from time to time, so users should pay high attention in the use of the Website, which does not assume the obligations to notify.",0,0,0,0,0,0,0,0
1.2 This Privacy Policy also applies to your use of SMA applications.,0,0,0,0,0,0,0,0
"1.2 This Privacy Policy shall apply to platforms on which it is displayed, including but not limit to the Cubot site, products, and services, and other platforms which link to this Privacy Policy.",0,0,0,0,0,0,0,0
1.2 We may use this information in the following ways: ,1,0,0,0,0,0,0,0
"1.2  This policy applies where we are acting as a data controller with respect to your personal data; in other words, where we determine the purposes and means of the processing of that personal data.",0,0,0,0,0,0,0,0
"1.2.1 to provide our service(s) to you as a user of the Website, including processing and fulfilling your orders and enhancing your user experience; ",1,0,0,0,0,0,0,0
"1.2.11 Providing details of Products or Services that we believe from your usage would be suitable from Binatone or Hubble Connected or a third party, if you have provided your consent for this.",1,0,0,0,0,0,0,0
1.2.12 We may use your usage and product data aggregated and anonymised to provide industry trends and other market data ,1,0,0,0,0,0,0,0
1.2.2 to carry out our obligations arising from any contracts entered into between you and us; ,1,0,0,0,0,0,0,0
"1.2.3 to provide you with newsletters and other information about features of our Website or products which we think may be of interest to you and for related marketing purposes, if you have submitted your contact details to us for these purposes or otherwise provided your consent for us to do so; ",1,0,0,0,0,0,0,0
1.2.4 to ensure that content from our Website is presented in the most effective manner for you and your computer; ,1,0,0,0,0,0,0,0
1.2.5 to identify you when you visit the Website including to assist with logging you in; ,1,0,0,0,0,0,0,0
1.2.6 to notify you about changes to our Website; ,1,0,0,0,0,0,0,0
"1.2.7 to help diagnose problems with our server, to administer the Website and to monitor the Website for the detection and prevention of fraud; ",1,0,0,0,0,0,0,0
1.2.8 to administer any prize draws or competitions you may enter; ,1,0,0,0,0,0,0,0
"1.2.9 for assessment and analysis (e.g. market, customer and product analysis);",1,0,0,0,0,0,0,0
"1.2‚ Perform or enter into a contract with you: We rely on this legal basis in particular in the following cases:  to provide you with ZTE's Services, process your orders or fulfil the contract between you and ZTE;  to activate Services you have purchased, your warranty service and specific software licenses and provide notifications for software updates;  to allow and manage your participation in prize draws, contests or similar promotional activities held by us; and  to diagnose product issues, repair customer equipment and provide other customer care and support Services.",1,0,0,0,0,0,0,0
1.2Information automatically generated by your use of our Services ,1,0,0,0,0,0,0,0
1.3 Compliance with a legal obligation: ,1,0,0,0,0,0,0,0
1.3 Information associated with cookies and web beacons ,1,0,0,0,0,0,0,0
"1.3 Location-based Services When accessing some location-based services, such as performing a search, using navigation software, or viewing weather at a particular location, we collect, use, and process the exact location or location of your equipment.",1,0,0,0,0,0,0,0
"1.3 Log files, Cookies and similar technologies ",0,0,0,0,0,0,0,0
1.3 Marketing,0,0,0,0,0,0,0,0
1.3 Marketing,0,0,0,0,0,0,0,0
1.3 The anonymous data ASUS collect and how ASUS use such anonymous data ,1,0,0,0,0,0,0,0
1.3 User personal data obtained by this application from business partners through legal means.,1,0,0,0,0,0,0,0
"1.3 We shall process your personal information in different scenarios based on different legal reasons, such as performing contracts and providing products and/or services to you, based on legitimate business interests or with your prior consent, as further detailed below.",1,0,0,0,0,0,0,0
"1.3 Where Products use Amazon Alexa environment, any information that you share with an online app store during purchase is not connected in any way to the Hubble Connected Service.  Skills may collect certain information automatically as part of normal operation this will as a minimum be ",1,0,0,0,0,0,0,0
1.3  We use cookies on our website.,0,0,0,0,0,0,0,0
1.3.1 Your Alexa enabled device unique ID ,1,0,0,0,0,0,0,0
1.3.2 User ID linked to your Alexa enabled device ,1,0,0,0,0,0,0,0
"1.3.3 Usage of the Skills, and information about the way you use the Skills.",1,0,0,0,0,0,0,0
1.4 Collection and use of non-identifiable data Non-identifiable data refers to data that cannot be used to determine personal identity.,1,0,0,0,0,0,0,0
1.4 Data access by recipients,0,0,0,0,0,0,0,0
1.4 Data access by recipients,0,0,0,0,0,0,0,0
1.4 Legitimate interests: ‚ The processing of your personal data may also be necessary for ZTE's legitimate interests.,1,0,0,0,0,0,0,0
1.4 Special note regarding sensitive personal data ,1,0,0,0,0,0,0,0
"1.4 Your reviews and shared content When you post a product or seller review or upload an image or other material to our website, or when you share content with us on third party websites, such as social networks, we may publish and use this information on our website and third party websites.",0,0,0,0,0,0,0,0
"1.4  In this policy, ""we"", ""us"" and ""our"" refer to GeoSmartPro Ltd.",0,0,0,0,0,0,0,0
1.4.2    Unique Hubble connected Service ID linked to the App ,1,0,0,0,0,0,0,0
1.4.3    Hubble Connected Service notifications for your devices ,1,0,0,0,0,0,0,0
1.4.4    Usage of the Hubble Connected Service about the way you use the App and what devices you have connected ,1,0,0,0,0,0,0,0
1.4.5    Hubble Connected Service  may use Google analytics for more information about google analytics and its do not track policy https://www.google.com/analytics/terms/us.html The data is used to better facilitate your individual service through the app.,1,0,0,0,0,0,0,0
1.5 Where products use the Coin Connect  app  .,0,0,0,0,0,0,0,0
1.5 Your rights,0,0,0,0,0,0,0,0
1.5 Your rights,0,0,0,0,0,0,0,0
1.5.3    Coin Connect service and in app notifications for your devices ,1,0,0,0,0,0,0,0
1.5.4    Usage of the Coin Connect app about the way you use the App and what devices you have connected ,1,0,0,0,0,0,0,0
1.5.5    Coin Connect may use Google analytics for more information about google analytics and its do not track policy https://www.google.com/analytics/terms/us.html ,1,0,0,0,0,0,0,0
1.6 Location of your information; disclaimer for EU residents,1,0,0,0,0,0,0,0
1.6 Location of your information; disclaimer for EU residents,0,0,0,0,0,0,0,0
